"PARENT","WSM_CATNAME","LONG_DESC","EXTENDED DESCRIPTION","EXISTING ID","CAT_IMAGE","METADESCRIPTION","KEYWORDS","META TITLE","PRIORITY","CATEGORYPATH","ADDED","HIDDEN"
"","Featured Products","","","775130","","","","","400","Featured Products","2013-05-29 21:24:39","1"
"Industrial / Big Rig / Farm / RV","Big Rigs","Big Rig Performance Parts<br>Bully
Dog Big Rig performance parts are designed with one goal in mind - to add bottom
line profits through lower fuel consumption cost in big rig trucks. Whether
you are an owner/operator, have a fleet of thousands of trucks or somewhere
in between these performance tuners, turbos and exhaust manifolds have been
designed for you. </div>","","778288","https://usdieselparts.com/images/F84079810","Big Rig performance parts are designed with one goal in mind - to add bottom
line profits through lower fuel consumption cost in big rig trucks.","Big, Rig, Performance, Parts","Big Rig Performance Parts","450","Industrial / Big Rig / Farm / RV>Big Rigs","2013-05-31 17:36:46",""
"Big Rigs","ECM Tuners Downloaders","Big Rig ECM Tuners and Downloaders<br>
<div align=""left"">Bully Dog Big Rig tuners and downloaders are designed with one 
  goal in mind - to add bottom line profits through lower fuel consumption cost 
  in big rig trucks. Whether you are an owner/operator, have a fleet of thousands 
  of trucks or somewhere in between these downloaders have been designed for you. 
  They are simple to install and come with two tunes: an Economy Tune, and Economy 
  with Power Tune. These tuners and downloaders have been designed to safely improve 
  fuel economy. </div>","","778289","https://usdieselparts.com/images/F84081284","Big Rig ECM Tuners and Downloaders","Big, Rig, ECM, Tuners, Downloaders","Big Rig ECM Tuners Downloaders","400","Industrial / Big Rig / Farm / RV>Big Rigs>ECM Tuners Downloaders","2013-05-31 17:36:46",""
"Big Rigs","Exhaust Manifolds","Big Rig Exhaust Manifolds<br>
<p align=""left"">Bully Dog premium ceramic coated exhaust manifolds are guaranteed
to provide .3 to .4 MPG improvements and at least 30 extra horsepower. This
is hands down the best exhaust manifold offered in the market today and it won't
void your warranty. It has been third party tested to prove that it flows better
than the stock manifold and the competition. The whole manifold is finished
with a high performance ceramic coating which improves air flow and lowers temps
radiating off of the manifold by 300 degrees. </p>","","778290","https://usdieselparts.com/images/F84081142","Big Rig Exhaust Manifolds guaranteed
to provide .3 to .4 MPG improvements and at least 30 extra horsepower.","Big, Rig, Exhaust, Manifolds","Big Rig Exhaust Manifolds","410","Industrial / Big Rig / Farm / RV>Big Rigs>Exhaust Manifolds","2013-05-31 17:36:47",""
"Big Rigs","Turbochargers","Big Rig Turbochargers<br>
<div align=""left"">A turbo charger is extremely important to overall vehicle performance.
A turbo charger can affect power output, throttle response, and fuel economy.
Your efficiency on the road is partly determined by the quality of the turbo
charger that you run on your truck. That's why choosing the best turbo is crucial
to your own efficiency and your experience out on the road. That's why we focus
on quality, performance, and above all reliability. </div>","","778291","https://usdieselparts.com/images/F84079958","Big Rig Turbochargers. A turbo charger can affect power output, throttle response, and fuel economy.","Big, Rig, Turbochargers","Big Rig Turbochargers","420","Industrial / Big Rig / Farm / RV>Big Rigs>Turbochargers","2013-05-31 17:36:47",""
"","Chevy / GMC","We've been working with the GM diesels since the introduction of the 5.7L Oldsmobile in the late 70's. We know what it takes to keep these vehicles reliable and working hard for you. We carry a full line of engine parts, diesel fuel injectors, turbochargers, fuel injection pumps, and ton of performance products for the GM diesel family. With over 82 years on the business, you can count on our products and knowledge to get the job done.","The Chevy / GMC Duramax diesel engine was designed by Isuzu and is a hugely popular and successful General Motors diesel engine family for their light-and medium duty trucks. The 6.6-liter Duramax diesel engine is produced by DMAX, which is a joint venture between GM and Isuzu. The Duramax engine was initially installed in 2001 model vehicles and has been an option since then in the GM line of pickups, vans, and medium-duty trucks. Duramax performance parts are the perfect way to make the most of your vehicle.  ","778292","https://usdieselparts.com/images/F93636991","US Diesel Parts is the best online diesel parts and performance store for your Chevy GMC 6.6L Duramax and 6.5L Turbo Diesel truck needs.","chevy, chevrolet, gmc, duramax, diesel, pickup, truck, 6.6l, 6.5l, lly, lmm, lbz, lml, lb7, lgh, performance, mileage, economy, tuner, intake, exhaust, injectors, cp3, injection, pump, turbo, turbocharger, filters, gauges, glowplugs, parts, buy, online","Chevy GMC Duramax Diesel Parts and Accessories for Sale","500","Chevy / GMC","2013-05-31 17:36:47",""
"Chevy / GMC","1982 - 1996 GM 6.2L 6.5L (Mechanical)","US Diesel Parts has the Chevy/GMC 6.5L and 6.2L diesel performance parts and stock parts you’re looking for. The trusty GM 6.2L and 6.5L IDI engines have been a workhorse for many folks for quite a while. We know you love 'em, and that's why we're here to help you find the diesel performance parts for 6.2L and 6.5L Chevy/GMC vehicles. We've been rebuilding the early GM injectors and Stanadyne DB2 mechanical injection pumps since they were released in the early 80's. Don't let our competitors fool you... even though it costs us more, we take extra steps with our pump rebuilds that many other fuel shops don't. If you're feeling the need to squeeze a few more ponies out of your engine, then check out our Banks Performance Packages. If you don't see the Chevy/GMC 6.5L or 6.2L diesel performance parts or stock parts you're looking for here, then please give us a call and we'll help you find it. "," 
<p align=""left""><b>Chevy GMC 6.2L Diesel Specifications:<br>
  </b> • Power / Torque: 143 hp @ 3600 rpm / 257 lb·ft @ 2000 rpm <br>
  • Displacement: 6.2L / 379 cu in<br>
  • Bore x Stroke: 3.98 × 3.80 in<br>
  • Compression: 21.5:1<br>
  • Valvetrain: OHV 2-Valves per cyl.<br>
  • Block / Head: Cast iron / Cast iron<br>
  • Aspiration: Naturally Aspirated<br>
  • Injection: Bosch Indirect Injection Pintle Injectors, Stanadyne DB2 Mechanical 
  Injection Pump </p>
","778293","https://usdieselparts.com/images/F81240197","We have the best parts and accessories for 1982-1996 6.2L & 6.5L Chevy GMC Diesel pickup trucks with mechanical injection pumps. View our inventory now.","6.2L, Chevy, Diesel, Parts, GMC, glowplug, relay, db2, injection, pump, injectors, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993","1982-1996 6.2L 6.5L Chevy GMC (Mechanical Pump) Diesel Parts","400","Chevy / GMC>1982 - 1996 GM 6.2L 6.5L (Mechanical)","2013-05-31 17:36:47",""
"1982 - 1996 GM 6.2L 6.5L (Mechanical)","Banks Performance Packages - GM 6.2L 6.5L IDI ","Banks Sidewinder Turbo Performance Packages for 1982 - 1992 Chevy GMC 6.2L Diesel.","","778294","https://usdieselparts.com/images/F95106253","Banks Sidewinder Turbo Performance Packages for 1982 - 1992 Chevy GMC 6.2L Diesel.","Banks, Sidewinder, Turbo, Performance, Packages, Chevy, GMC, 6.2L, Diesel","Banks Sidewinder Chevy GMC 6.2L","100","Chevy / GMC>1982 - 1996 GM 6.2L 6.5L (Mechanical)>Banks Performance Packages - GM 6.2L 6.5L IDI ","2013-05-31 17:36:47",""
"1982 - 1996 GM 6.2L 6.5L (Mechanical)","Feed Pumps - GM 6.2L 6.5L IDI","Feed Pumps for 1988 - 1993 Chevy GMC 6.2L & 6.5L Diesel.","","778295","https://usdieselparts.com/images/F95106392","Feed Pumps for 1988 - 1993 Chevy GMC 6.2L  & 6.5L Diesel.","Feed, Pumps, Chevy, GMC, 6.2L, Diesel","Feed Pumps Chevy GMC 6.2L","480","Chevy / GMC>1982 - 1996 GM 6.2L 6.5L (Mechanical)>Feed Pumps - GM 6.2L 6.5L IDI","2013-05-31 17:36:47",""
"1982 - 1996 GM 6.2L 6.5L (Mechanical)","Fuel Injection Lines - 89-96 Chevy GMC 6.2L 6.5L"," 
<p align=""left""><img src=""/files/extdesc/6-5l_inj_lines_sm.jpg"" width=""300"" height=""211"" align=""right"" hspace=""10"">Fuel 
  injection lines for 1989 - 1996 Chevy GMC 6.2L & 6.5L engines with the DB2 mechanical 
  injection pumps. These have the 14mm fitting on the injector end and the 12mm fitting on the pump end. Each line is tagged for easy 
  identification. Please use the picture (right) to identify which injection line you need. </p>
<p align=""left""><b>NOTE:</b><br>
  These lines will not fit the early 1982-1988 6.2L engines, and they will not fit the late 6.5L engines with the electronic DS4 injection 
  pump. If you're unsure which series engine you have, then please call before 
  ordering so we can make sure that you get the correct line. </p>
","","778296","https://usdieselparts.com/images/F95106587","Fuel injection lines for 1989 - 1996 Chevy GMC 6.2L & 6.5L engines with the DB2 mechanical injection pumps.","Fuel, injection, lines, Chevy, GMC, 6.2L, 6.5L, DB2, mechanical","Fuel Injection Lines - 89-96 Chevy GMC 6.2L 6.5L","510","Chevy / GMC>1982 - 1996 GM 6.2L 6.5L (Mechanical)>Fuel Injection Lines - 89-96 Chevy GMC 6.2L 6.5L","2013-05-31 17:36:47",""
